iter	Passed	Remaining
779	1468	414
780	1470	412
781	1471	410
782	1473	408
783	1475	406
784	1477	404
785	1479	402
786	1480	400
787	1482	398
788	1484	396
789	1485	395
790	1487	393
791	1489	391
792	1491	389
793	1492	387
794	1494	385
795	1496	383
796	1497	381
797	1499	379
798	1501	377
799	1503	375
800	1504	373
801	1506	372
802	1508	370
803	1510	368
804	1512	366
805	1513	364
806	1515	362
807	1517	360
808	1519	358
809	1520	356
810	1522	354
811	1525	353
812	1527	351
813	1529	349
814	1530	347
815	1532	345
816	1534	343
817	1535	341
818	1537	339
819	1539	337
820	1540	335
821	1542	333
822	1544	332
823	1545	330
824	1547	328
825	1549	326
826	1550	324
827	1552	322
828	1554	320
829	1556	318
830	1558	316
831	1559	314
832	1561	313
833	1563	311
834	1565	309
835	1566	307
836	1568	305
837	1570	303
838	1572	301
839	1573	299
840	1575	297
841	1577	295
842	1578	294
843	1580	292
844	1582	290
845	1584	288
846	1586	286
847	1587	284
848	1589	282
849	1591	280
850	1593	278
851	1594	277
852	1596	275
853	1598	273
854	1600	271
855	1601	269
856	1603	267
857	1605	265
858	1607	263
859	1609	261
860	1610	260
861	1612	258
862	1614	256
863	1616	254
864	1617	252
865	1619	250
866	1621	248
867	1622	246
868	1624	244
869	1626	243
870	1628	241
871	1629	239
872	1631	237
873	1633	235
874	1635	233
875	1636	231
876	1638	229
877	1640	227
878	1642	226
879	1644	224
880	1645	222
881	1647	220
882	1649	218
883	1650	216
884	1652	214
885	1654	212
886	1656	210
887	1657	209
888	1659	207
889	1664	205
890	1667	204
891	1672	202
892	1675	200
893	1677	198
894	1680	197
895	1682	195
896	1684	193
897	1686	191
898	1688	189
899	1689	187
900	1691	185
901	1693	183
902	1695	182
903	1696	180
904	1698	178
905	1700	176
906	1702	174
907	1703	172
908	1705	170
909	1707	168
910	1709	166
911	1710	165
912	1712	163
913	1714	161
914	1716	159
915	1717	157
916	1719	155
917	1721	153
918	1723	151
919	1724	149
920	1726	148
921	1728	146
922	1730	144
923	1732	142
924	1733	140
925	1735	138
926	1737	136
927	1739	134
928	1740	133
929	1742	131
930	1744	129
931	1746	127
932	1748	125
933	1749	123
934	1751	121
935	1753	119
936	1754	117
937	1756	116
938	1758	114
939	1759	112
940	1761	110
941	1763	108
942	1764	106
943	1766	104
944	1768	102
945	1770	101
946	1772	99
947	1773	97
948	1775	95
949	1777	93
950	1779	91
951	1781	89
952	1782	87
953	1784	86
954	1786	84
955	1788	82
956	1790	80
957	1791	78
958	1794	76
959	1796	74
960	1797	72
961	1799	71
962	1801	69
963	1803	67
964	1805	65
965	1807	63
966	1808	61
967	1810	59
968	1812	57
969	1814	56
970	1816	54
971	1817	52
972	1819	50
973	1821	48
974	1823	46
975	1825	44
976	1827	43
977	1829	41
978	1831	39
979	1833	37
980	1835	35
981	1836	33
982	1838	31
983	1840	29
984	1842	28
985	1843	26
986	1845	24
987	1847	22
988	1849	20
989	1851	18
990	1852	16
991	1854	14
992	1856	13
993	1858	11
994	1859	9
995	1861	7
996	1863	5
997	1865	3
998	1867	1
999	1868	0
